text,label
"The Nahal Brigade Combat Team continues to operate in the Rafah area in precise, intelligence-based targeted operations, led by the 162nd Division.

Over the past few weeks, the soldiers have been carrying out intelligence-based scans and operating to eliminate terrorist targets in the area. In one of the scans carried out by Nahal Reconnaissance Battalion, the soldiers located large quantities of weapons inside a civilian residence hidden in wardrobes. This included grenades, explosives, a launcher anti-tank missiles, ammunition and arms. In another scan made using a drone, a tunnel shaft was located under a child’s bed, and in another room the soldiers located a passage in the wall that Hamas terrorist operatives had created to pass between residences in crowded neighborhoods.The brigade's Fire Control Center destroyed terrorist infrastructure in the area, including a weapons storage facility. Secondary explosions were seen after the strike, indicating that large quantities of weapons were being stored there.",1
"Based on IDF and ISA intelligence, an IAF aircraft conducted a precise and targeted strike to eliminate the Hamas terrorist Ahmed Hassan Salame Alsauarka in the area of Beit Hanoun in northern Gaza. Alsauarka was a squad commander in the Nukhba Forces who infiltrated into and carried out attacks on Israeli communities in southern Israel during the October 7th Massacre. Alsauarka led and directed sniper activity in the area of Beit Hanoun and took part in Hamas' attacks on IDF troops.

Following an extensive search, Alsauarka was identified by IDF troops and eliminated in the area of Beit Hanoun. Prior to the strike, a number of steps were taken in order to mitigate harm to civilians during the operation. As a result, no civilians were injured during the strike.IDF troops are continuing to operate in the area of central Gaza. Over the past day, a mortar shell launch post used to fire at IDF troops was struck by IDF aerial and artillery forces. In addition, two terrorists who posed a threat to IDF troops in the area were targeted using an Iron Sting precision missile.

Furthermore, IDF troops are continuing precise, intelligence-based, operational activity in the Rafah area. Over the past day, the troops eliminated several terrorists in close-quarters encounters. Additionally, the troops conducted targeted operations in specific areas, locating rocket launchers.",1
"The Chief of the General Staff, LTG Herzi Halevi, visited an aerial defense system on the northern border. As part of his visit, he had a tour and conversations with soldiers of the Aerial Defense Array, along with the Commanding Officer of the Israeli Air Force, Maj. Gen. Tomer Bar, the Commanding Officer of the Aerial Defense Array, Brig. Gen. Gilad Biran and commanders of the 'Iron Dome' battalions. 

The full remarks of the Chief of the General Staff, LTG Herzi Halevi: 

""We are in a state of war for over eight months, and you have defended for over eight months, providing a complex defense. This defense gives a great deal of security to civilians and the IDF, but we are not satisfied with that, we have many more soldiers in the IDF who are engaged in an offensive against Hezbollah. Today we targeted several Hezbollah terrorists, and yesterday Hezbollah released a video showcasing a capability that we knew about, and we are preparing and creating solutions to deal with such capabilities and others that in due course you will see them implemented when needed. We of course have infinitely greater capabilities, of which I think the enemy is only familiar with few of them and will confront them at the right time. And look, our test is to see that today we defend, tomorrow we win, the day after tomorrow we return the residents to a much safer reality, and with them, we also build and restore and make this beautiful area stronger than it was before the war. Much appreciation to you, keep up the excellent work. Thank you.""",1
"For the past few days, troops of the Nahal Brigade have been conducting precise, intelligence-based targeted operations in ​​the 'Tel al-Sultan' area in Rafah as part of a divisional operation of the 162nd Division. Directed by the division’s Fire Control Center and the troops in the field, an IAF aircraft eliminated an armed terrorist cell and dismantled terrorist infrastructure.

While carrying out intelligence based searches in the area near the schools’ compound, the troops of the 50th Battalion located a large amount of weapons, among them: rifles, explosives, military vests, and intelligence documents of the enemy.

Additionally, the troops located UNRWA bags containing hidden explosives meant to be used in attacks on IDF troops.  ",1
"Based on IDF and ISA intelligence, the IAF struck several terrorists who were operating in the area of UNRWA's Abu Oraiban School School building in Nuseirat.  

This location served as a hideout and operational infrastructure from which attacks against IDF troops operating in Gaza were directed and carried out. 

Prior to the strike, numerous steps were taken in order to mitigate the risk of harming civilians, including the use of precise munitions and additional intelligence.

The Hamas terrorist organization systematically violates international law, exploiting civilian structures and population as human shields for its terrorist attacks against the State of Israel.",1
"Based on IDF and ISA intelligence, the IAF eliminated the Deputy Commander of Hamas' Shejaiya Battalion, the terrorist Ayman Showadeh.

Ayman was previously a key operative in Hamas' Operations Headquarters and was involved in the directing of the October 7th massacre. Throughout the war, he was actively involved in combat with the Shejaiya Battalion and directed numerous attacks against IDF troops.

In addition to Ayman, the terrorist Ubadah Abu Heen, a company commander in the Shejaiya Battalion who held a significant role throughout the war was also eliminated.

Furthermore, over 150 additional terrorists have been eliminated since the beginning of the current operations in the area of Shejaiya.",1
"The Northern Command continues to increase preparedness and readiness of forces in the northern arena.

In the last week, the soldiers of the 5th Brigade held a brigade-level exercise led by the Ground Forces Training Center. As part of the exercise, the soldiers trained for movement in thicketed terrain, mountainous routes, and the activation of fire and intelligence collection devices. Additionally, this week, a surprise exercise was held by the 920th Reserve Battalion of the 769th Brigade, in which the reserve forces strengthened their readiness for various combat scenarios in defense of the northern communities while operating against the enemy.",1
"Hezbollah is an internationally recognized terrorist organization. It is a threat to the people of Israel, the people of Lebanon, the Middle East and the entire world.
Since October 8th, Hezbollah has fired over 8,000 rockets, missiles, and explosive UAVs at Israeli civilians, forcing over 60,000 Israelis to evacuate from their homes. Just today, Hezbollah fired over 200 rockets at Israel.

The Israel Defense Forces has a duty to defend the people of Israel and ensure their safe and secure return to their homes in northern Israel.

Today, in pursuit of that goal, the IDF conducted a targeted strike in Beirut on senior terrorist Ibrahim Aqil, the Head of Hezbollah's Operations and the Commander of Hezbollah’s Elite Radwan Forces. I can now confirm that Ibrahim Aqil was eliminated together with other senior terrorists in Hezbollah’s Radwan Forces.
Ibrahim Aqil had the blood of many innocent people on his hands: Israelis, Americans, French, Lebanese and more.

During the 1980s, Aqil was a principal member of “Islamic Jihad Organization”, Hezbollah’s terror cell that claimed the bombings of the U.S. Embassy in Beirut, in April 1983, which killed 63 people, and the U.S. Marine barracks bombing in October 1983, which killed 241 U.S. personnel.
Ibrahim Aqil also directed the kidnapping of Americans and Germans in Lebanon.

Ibrahim Aqil and the Radwan commanders who were eliminated today, were planning Hezbollah’s “Conquer the Galilee” invasion plan - into Israeli communities.
These terrorists planned to do in northern Israel what Hamas did in southern Israel on October 7th: invade Israeli homes and kill innocent people.

At the time of the strike, Aqil and the commanders of the Radwan Forces, were gathered underground, under a residential building in the heart of the Dahieh in Beirut, hiding among Lebanese civilians, using them as human shields.
They were in the middle of planning more terror attacks against Israeli civilians.

We are determined to fulfill our mission: Protecting the people of Israel and fulfilling our goal of bringing our hostages home and ensuring an enduring defeat of Hamas in Gaza.",1
"IDF troops are continuing to operate in western Khan Yunis in the southern Gaza Strip. Over the past day, the troops conducted targeted raids on terrorist infrastructure, killed terrorists, and located large quantities of weapons in the area.
 
Additionally in Khan Yunis, IDF troops located weapons and killed approximately 20 terrorists by tank fire over the past day. The troops directed an aircraft which struck and killed terrorists in the area. IDF troops also conducted targeted raids on military compounds and located weapons, including explosive devices and RPG missiles intended to be used in attacks on IDF troops. IDF special forces are continuing to operate in the Nasser Hospital and areas adjacent to it in Khan Yunis, where they located additional weapons.

IDF Paratroopers also eliminated a number of troops, located terror funds and seized weapons in a Hamas military compound in Khan Yunis.
 
The IDF and IAF conducted a series of strikes in Khan Yunis which killed approximately 15 terrorists, including six who emerged from terrorist infrastructure. Additionally, a weapons storage facility was struck.
 
In the central Gaza Strip, IDF troops killed over ten terrorists over the past day. During one of the activities, IDF troops identified a terrorist cell loading weapons onto a cart and advancing toward IDF troops in the area, following which a number of the terrorists were struck and killed by an aircraft directed by the troops.",1
"It was cleared for publication that during a joint IDF, ISA, and Israel Police operation in Rafah, overnight, two Israeli hostages were rescued, Fernando Simon Marman (60) and Louis Har (70), who were kidnapped by the Hamas terrorist organization on October 7th from Kibbutz Nir Yitzhak.

They are both in good medical condition, and were transferred for medical examination at the Sheba Tel Hashomer hospital.

Security forces will continue to operate with all means in order to return the hostages home.",1
"Earlier this week, following intelligence from the ISA (Israel Security Agency) and the Intelligence Directorate (J2), the Givati Brigade combat team, Shayetet 13, and additional special forces carried out operational activity to apprehend terrorists hiding inside the Al-Amal Hospital in western Khan Yunis.

During the operational activity, the forces detained approximately 20 terrorists, including members of the Hamas terrorist organization who were hiding in the hospital. The detainees were transferred for further investigation by security forces in Israel.

The activity included prior coordination with the hospital, and the forces meticulously and selectively scanned the hospital without opening fire and without harming the patients or medical staff. After the operation, through the Coordination and Liaison Administration for Gaza of COGAT, the IDF facilitated the entry of dozens of oxygen cylinders donated by international organizations to the hospital's patients. IDF soldiers were briefed in advance in order to prevent any harm to patients, medical teams, civilians, and medical equipment, in accordance with international law.

This is further evidence of Hamas’ cynical exploitation of the Gazan civilian population, with Hamas’ use of hospitals and civilian infrastructure as shields for its terrorist operatives and activities.

The operation adds to the intense fighting in Western Khan Yunis and the intensification of ground operations in the area, during which hundreds of terrorists have been eliminated by IDF troops, and hundreds more who were apprehended after attempting to flee under the cover of the civilian population.",1
"The 646th Reserve Brigade is operating in the Khan Yunis area. As part of their activity, the reserve soldiers are conducting targeted raids on terrorist infrastructure, encountering the enemy, eliminating terrorists and locating many weapons.

During a targeted raid, troops located rocket launchers placed by Hamas terrorists near a kindergarten and mosque. The launchers, loaded and aimed at the territory of the State of Israel, were destroyed by the forces. Additionally, during searches of a civilian water facility in the area, the forces found a tunnel shaft leading to an underground tunnel route inside the facility. Operations inside the tunnel revealed two eliminated terrorists. Furthermore, during a targeted raid on assets used by Hamas operatives, many weapons were found: RPG missiles, explosives, AK-47s, military uniforms and vests.",1
"Soldiers of the Yahalom Unit and another special forces unit carried out a targeted raid under the command of the 98th Brigade on an additional strategic underground tunnel over one kilometer in length in Khan Yunis. The tunnel was used to hide high-ranking members of the Hamas terrorist organization and to hold hostages. The forces fought in the tunnel against terrorists, breached metal doors and neutralized explosives.

During searches in the tunnel, several rooms were discovered, including a barred cell where hostages were held, a bathroom, and a rest area used by terrorists holding the hostages. Additionally, intelligence materials and weapons belonging to the Hamas terrorist organization were found in the tunnel. This tunnel held approximately 12 hostages at different times; three of them have been returned to Israel, and the rest are still being held in Gaza.

As is the practice of the Hamas terrorist organization, this tunnel was also built under the heart of a civilian area of Khan Yunis, and intelligence estimates suggest millions of shekels were invested in its construction. This strategic tunnel is part of an intricate and interconnected underground labyrinth, linked to another tunnel revealed a few weeks ago where additional hostages were held.",1
"During targeted raids carried out by the Egoz Unit in western Khan Yunis, the soldiers destroyed terrorist infrastructure and killed numerous terrorists in close-quarters combat.

This week, the soldiers conducted scans in the area, during which they encountered a terrorist cell and eliminated it at close range.

While continuing their scans in a house adjacent to where the battle took place, the troops found a submachine gun hidden inside a bedroom and a UN-marked vest, humanitarian aid, and canned food inside another room.",1
